fen,sequence_of_moves,found_mate,best_mate,difference,compute_duration
5b2/R4p1p/1r2kp2/1p2pN2/2r1P3/P1P3P1/1PK4P/3R4 w - - 1 1,b2b4->f8g7->f5g7,2,2,0,0.36240601539611816
r3q1r1/1p2bNkp/p3n3/2PN1B1Q/PP1P1p2/7P/5PP1/6K1 w - - 1 1,h5h6->g7f7->f5e6,2,2,0,0.624089241027832
1r2q2k/4N2p/3p1Pp1/2p1n1P1/2P5/p2P2KQ/P3R3/8 w - - 1 1,h3h7->h8h7->e2h2,2,2,0,1.2869229316711426
5R2/4r1r1/1p4k1/p1pB2Bp/P1P4K/2P1p3/1P6/8 w - - 1 1,f8f6->g6h7->f6h6,2,2,0,0.2435472011566162
2bq1rk1/r1p1b1pn/p2pP1Np/1p1B1Q2/4P3/2P4P/PP3PP1/R1B1R1K1 w - - 1 1,a2a4->f8e8->f5f7,2,2,0,0.42603302001953125
1nbk1b1r/1r6/p2P2pp/1B2PpN1/2p2P2/2P1B3/7P/R3K2R w - - 1 1,e3b6->b7b6->g5f7,2,2,0,0.7475371360778809
3r2k1/p1p2p2/bp2p1nQ/4PB1P/2pr3q/6R1/PP3PP1/3R2K1 w - - 1 1,g3g6->f7g6->f5e6,2,2,0,4.5590660572052
6k1/3r3p/p1q3pP/1p1p4/3Q4/4R1P1/P4PK1/8 w - - 1 1,e3f3->d7d8->d4g7,2,2,0,0.17093396186828613
2k4r/ppp5/4bqp1/3p2Q1/6n1/2NB3P/PPP2bP1/R1B2R1K b - - 0 1,h8h3->g2h3->f6f3,2,2,0,0.9999980926513672
r2r3k/b1qn2pp/1p2Bp2/2p2P2/PP1pQ3/7R/1B3PPP/5RK1 w - - 1 1,h3h7->h8h7->e4h4,2,2,0,3.6964271068573
8/1p3Qb1/p5pk/P1p1p1p1/1P2P1P1/2P1N2n/5P1P/4qB1K w - - 1 1,e3f5->g6f5->f7h5,2,2,0,0.5005898475646973
3rrk2/2p2pR1/p4n2/1p1PpP2/2p2q1P/3P1BQ1/PPP5/6RK w - - 1 1,g7f7->f8f7->g3g7,2,2,0,0.1957249641418457
r4kr1/1b2R1n1/pq4p1/4Q3/1p4P1/5P2/PPP4P/1K2R3 w - - 1 1,a2a4->g8h8->e5g7,2,2,0,0.248060941696167
3n4/1R6/p5k1/2B5/1P3PK1/r7/8/8 w - - 1 1,f4f5->g6f6->c5d4,2,2,0,0.1122591495513916
1r3rk1/1pnnq1bR/p1pp2B1/P2P1p2/1PP1pP2/2B3P1/5PK1/2Q4R w - - 1 1,h7h8->g7h8->h1h8,2,2,0,0.2608010768890381
b3r1k1/5ppp/p2p4/p4qN1/Q2b4/6R1/5PPP/5RK1 b - - 0 1,f5f2->f1f2->e8e1,2,2,0,3.012049913406372
5r1k/pp1n1p1p/5n1Q/3p1pN1/3P4/1P4RP/P1r1qPP1/R5K1 w - - 1 1,g5h7->f8g8->h7f6,2,2,0,0.12148690223693848
5k2/p3Rr2/1p4pp/q4p2/1nbQ1P2/6P1/5N1P/3R2K1 w - - 1 1,e7f7->f8g8->d4g7,2,2,0,0.22167301177978516
4rk2/pp2N1bQ/5p2/8/2q5/P7/3r2PP/4RR1K w - - 1 1,e1e6->f8f7->f1f6,2,2,0,1.5298340320587158
r4rk1/4bp2/1Bppq1p1/4p1n1/2P1Pn2/3P2N1/P2Q1PBK/1R5R b - - 0 1,e6h3->g2h3->g5f3,2,2,0,7.835482835769653
2q1r3/4pR2/3rQ1pk/p1pnN2p/Pn5B/8/1P4PP/3R3K w - - 1 1,g2g4->e8h8->g4g5,2,2,0,1.9688570499420166
q2br1k1/1b4pp/3Bp3/p6n/1p3R2/3B1N2/PP2QPPP/6K1 w - - 1 1,e2e4->g8h8->e4h7,2,2,0,5.272840976715088
5r1k/p2n1p1p/5P1N/1p1p4/2pP3P/8/PP4RK/8 w - - 1 1,a2a4->f8g8->g2g8,2,2,0,0.1774742603302002
8/7p/5pk1/3n2pq/3N1nR1/1P3P2/P6P/4QK2 w - - 1 1,e1e8->g6h6->d4f5,2,2,0,0.457979679107666
2Q5/pp2rk1p/3p2pq/2bP1r2/5RR1/1P2P3/PB3P1P/7K w - - 1 1,f4e4->e7e8->c8e8,2,2,0,1.466472864151001
